No_,Description,Base Unit of Measure,Inventory Posting Group,Gen_ Prod_ Posting Group,Global Dimension 1 Code,Global Dimension 2 Code,Item Category Code
1KOUP007,Royal Chk Biryani with Chk Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP008,Royal Chk Biryani with Chk Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP009,Free Double Ka Meetha with Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP010,Free Double Ka Meetha with Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1KOUP011,Royal Chicken Biryani with Coke 330ml Free,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP012,Royal Mutton Biryani with Coke 330ml Free,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1KOUP013,Royal Chicken Biryani with Royal chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1KOUP014,Chicken Triple Delight With Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1KOUP015,Chicken Triple Delight With Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1KOUP021,Haleem With Coke,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1KOUP022,Meal for One,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP023,Couples Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP024,Family Treat Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP025,Family Feast Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP046,Haleem Combo (Pack for 2),PORTION,FINISHGOOD,FINISHGOOD,,,10101
1KOUP047,Haleem With Coke,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1KOUP051,Mini Chicken Biryani (Pack for 2),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP052,Mini Chicken Biryani with Half Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP079,Kebab Roll- Chicken Tikka ( 2 no’s ),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1KOUP080,Kebab Roll- Paneer Tikka ( 2 no’s ),PORTION,FINISHGOOD,FINISHGOOD,,,10103
1KOUP081,Egg Roll ( 2 no’s ),PORTION,FINISHGOOD,FINISHGOOD,,,10102
1KOUP082,Kebab Roll Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1PK10001,2 Plates and 4 Spoons,PCS,PACK MAT,PACK MAT,,,27150
1PK10002,4 Plates and 8 Spoons,PCS,PACK MAT,PACK MAT,,,27150
1PK10003,5 Plates and 10 Spoons,PCS,PACK MAT,PACK MAT,,,27150
1RBK0001,Paradise Biryani Kit,PCS,FINISHGOOD,FINISHGOOD,,,32100
1TS00190,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1TS00191,Plain Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1TS00192,Extra (Double) Masala ,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1TS00193,Extra or Additional - Biryani Rice,PORTION,FINISHGOOD,FINISHGOOD,,,11104
1TS00196,Masala Thumbs Up,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1TS00197,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1TS00199,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1TS00200,Salted Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1TS00201,Sweet Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1TSCT001,Nizami Chk Biryani with Chk Tikka Kebab-TA,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSCT002,Nizami Chk Biryani with Chk Garlic Kebab-TA,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSCT003,Nizami Chk Biryani with Chk Reshmi Kebab-TA,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSCT004,Supreme Chkn Bir+Tandoori Chkn Full @ 50% Off,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSD0021,Biryani Raita,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TSD0027,Mirchi Ka Salan,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TSD0092,Boiled Egg,PCS,FINISHGOOD,FINISHGOOD,,,11102
1TSD0120,Aachari Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0122,Chettinadu Murgh Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0123,Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0125,Chicken Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0126,Kalmi Kebab Half,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0127,Chicken Kebab Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0128,Chicken Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0132,Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0133,Chicken Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0137,Tandoori Chicken ( Full),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0138,Tandoori Chicken ( Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0141,Fish Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12105
1TSD0145,Paneer Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TSD0165,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSD0168,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSD0170,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSD0178,Coca Cola Fountain,PCS,FINISHGOOD,FINISHGOOD,,,18113
1TSD0179,Sprite Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1TSD0180,Thums Up Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1TSD0195,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TSD0196,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0197,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TSD0198,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0199,Veg  Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1TSD0200,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0201,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TSD0202,Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1TSD0214,Mutton Haleem,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1TSD0216,Fresh Limes/ Nimbu,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TSD0217,Fresh Onion,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TSD0228,Kheema Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13101
1TSD0239,Chicken Curry,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TSD0240,Chicken Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TSD0241,Chicken Kadhai,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TSD0243,Paneer Butter Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TSD0244,Dal Makhani,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TSD0246,Malabar Paratha,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TSD0247,Lachha Paratha,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TSD0248,Paneer Tikka Kebab - (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TSD0249,Hariyali Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0250,Chicken Malai Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0251,Turkish Seekh Kabab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0252,Chicken Mustard Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0254,Cajun Paneer Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TSD0255,Festival Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0256,Chicken Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0262,Nizami Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0263,Royal Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0266,Chicken Garlic kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0269,Chettinadu kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0270,Chicken Reshmi kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0272,Nizami Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0273,Royal Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0274,Chicken Fiery Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0277,Chicken Fiery Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0278,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSD0279,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSD0280,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSD0282,Chicken Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0283,Special Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0284,Special Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0293,Dakshin-E-Khaas Nizami Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0294,Dakshin-E-Khaas Royal Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0295,Dakshin-E-Khaas Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0304,Peri Peri Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0305,Peri Peri Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TSD0306,Peri Peri Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0317,Aloo Curry,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TSD0318,Egg Bhurji,PORTION,FINISHGOOD,FINISHGOOD,,,13102
1TSD0323,Tea-Elaichi,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1TSD0324,Tea-Masala,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1TSD0325,Coffee,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1TSD0326,Malabar Paratha - 2pcs,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TSD0327,Lachha Paratha - 2Pcs,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TSD0330,Tea-Elaichi With Osmania Biscuit (2Pcs),PCS,FINISHGOOD,FINISHGOOD,,,19100
1TSD0331,Tea-Masala With Osmania Biscuit (2Pcs),PCS,FINISHGOOD,FINISHGOOD,,,19100
1TSD0332,Mutton Haleem Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1TSD0337,Chicken Tikka Roll ,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0338,Paneer Tikka Roll ,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TSD0339,Egg Roll,PORTION,FINISHGOOD,FINISHGOOD,,,12107
1TSD0340,Green Pepper Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TSD0341,Soya Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TSD0368,Sweet Corn Vegetable Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0369,Cream Of Tomato Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0370,Vegetable Manchow Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0371,Cream of Broccoli,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0372,Cream of Mushroom,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0373,Cream of Chicken Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0374,Sweet Corn Chicken Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17100
1TSD0375,Dal Tadka,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TSD0376,Papad Masala,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TSD0377,Papad Roasted,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TSD0378,Veg Fried Rice,PORTION,FINISHGOOD,FINISHGOOD,,,14103
1TSD0379,Chicken Fried Rice,PORTION,FINISHGOOD,FINISHGOOD,,,14100
1TSD0401,Vegetable Hot & Sour Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1TSD0402,Chicken Hot & Sour Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17100
1TSD0410,Vanilla I/C 4 Ltr,PORTION,FINISHGOOD,FINISHGOOD,,,16106
1TSD0411,Chocolate I/C 4 Ltr,PORTION,FINISHGOOD,FINISHGOOD,,,16106
1TSD0412,Strawberry I/C 4 Ltr,PORTION,FINISHGOOD,FINISHGOOD,,,16106
1TSD0413,Khubani Ka Meetha With Ice Cream,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TSNDC074,Meal for one Rcb+3pc ctk+1bv,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNDC075,Meal for two Ncb+6pc ctk+2bv,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNDC076,FamilyTreat 2Ncb+8pc ctk+4bv,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNDC085,Meal for one Rmb+3pc ctk+1bv,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1TSNDC086,Meal for two Nmb+6pc ctk+2bv,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1TSNDC087,FamilyTreat 2Nmb+8pc ctk+4bv,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1TSNDC088,Meal for two Egg+6pc ctk+2bv,PORTION,FINISHGOOD,FINISHGOOD,,,10102
1TSNDC089,Meal for two Veg+6pc ptk+2bv,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSNUP042,Meal for One,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP045,Family Feast Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP055,Royal Chicken Biryani With Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP056,Nizami Chicken Biryani With Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP057,Royal Fiery Biryani With Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP058,Special Veg Biryani With Paneer Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSNUP059,Royal Chicken Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP060,Royal Chicken Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP061,Nizami Chicken Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP062,Nizami Chicken Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP063,Royal Chicken Fiery Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP064,Royal Chicken Fiery Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP065,Special Veg Biryani With Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSNUP066,Special Veg Biryani With Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSNUP067,Dakshin Royal Biryani With Dakshin Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP068,Dakshin Royal Biryani With Dakshin Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP069,Dakshin Nizami Biryani With Dakshin Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP070,Dakshin Nizami Biryani With Dakshin Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP071,Mini Chicken Biryani With Dakshin Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP073,Mini Mutton Biryani With Half Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1TSNUP074,Meal for One,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP075,Meal for Two,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP076,Family Treat,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSNUP083,Royal Chicken with Chicken Tikka Kebab Roll,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TST0021,Biryani Raita,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TST0027,Mirchi Ka Salan,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TST0092,Boiled Egg,PCS,FINISHGOOD,FINISHGOOD,,,11102
1TST0120,Aachari Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0122,Chettinadu Murgh Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0123,Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0125,Chicken Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0126,Chicken Kalmi Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0128,Chicken Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0130,Mini Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0132,Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0133,Chicken Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0137,Tandoori Chicken (Full),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0138,Tandoori Chicken (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0141,Fish Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12105
1TST0145,Paneer Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TST0165,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TST0168,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TST0170,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TST0195,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TST0196,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0197,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TST0198,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1TST0199,Veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1TST0200,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0201,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TST0202,Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1TST0203,Supreme Veg Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1TST0204,Chicken Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TST0205,Egg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10102
1TST0206,Mutton Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10101
1TST0207,Veg Biryani Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TST0208,Special Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0209,Special Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TST0214,Mutton Haleem,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1TST0221,Mini Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0239,Chicken Curry,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TST0240,Chicken Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TST0241,Chicken Kadhai,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1TST0243,Paneer Butter Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TST0244,Dal Makhani,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TST0248,Paneer Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TST0249,Hariyali Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0250,Chicken Malai Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0251,Turkish Seekh Kabab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0252,Chicken Mustard Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0254,Cajun Paneer Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TST0255,Festival Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0256,Chicken Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0262,Nizami Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0263,Royal Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0266,Chicken Garlic kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0269,Chettinadu kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0270,Chicken Reshmi kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0272,Nizami Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0273,Royal Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0274,Chicken Fiery Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0277,Chicken Fiery Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0278,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TST0279,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TST0280,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1TST0282,Chicken Fiery Kebab - (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0293,Dakshin-E-Khaas Nizami Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0294,Dakshin-E-Khaas Royal Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0295,Dakshin-E-Khaas Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0300,Dakshin-E-Khaas Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0304,Peri Peri Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0305,Peri Peri Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1TST0306,Peri Peri Chicken Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0307,Chicken Biryani Tray Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TST0308,Veg Biryani Tray Meal,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TST0320,Mini Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1TST0326,Malabar Paratha - 2pcs,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1TST0327,Lachha Paratha - 2Pcs,PORTION,FINISHGOOD,FINISHGOOD,,,15103
1TST0332,Mutton Haleem Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1TST0336,Addon Onion and Lime,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1TST0337,Kebab Roll - Chicken Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0338,Kebab Roll - Paneer Tikka,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TST0339,Egg Roll,PORTION,FINISHGOOD,FINISHGOOD,,,12107
1TST0340,Green Pepper Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0341,Soya Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TST0375,Dal Tadka,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1TST0378,Veg Fried Rice,PORTION,FINISHGOOD,FINISHGOOD,,,14103
1TST0379,Chicken Fried Rice,PORTION,FINISHGOOD,FINISHGOOD,,,14100
1TST0438,Chicken Mustard Garlic Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1TST0439,Green Pepper Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TST0440,Soya Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1TSUP001,Veg  Biryani With Veg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSUP002,Nizami Chicken Biryani with Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP003,Nizami Chicken Biryani with Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP004,Nizami Chicken Biryani with Chicken Kalimi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP005,Veg Biryani with Paneer Tikka Keabab,PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSUP006,Royal Chicken  Biryani With Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP007,Chicken Triple Delight With Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP008,Chicken Triple Delight With Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP009,Chicken Triple Delight With Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP010,Chicken Triple Delight With Chettinadu Murg Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP011,Chicken Triple Delight With Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP046,Haleem Combo (Pack for 2),PORTION,FINISHGOOD,FINISHGOOD,,,10101
1TSUP047,Haleem with Coke,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1TSUP051,Mini Chicken Biryani (Pack for 2),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP052,Mini Chicken Biryani with Half Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP079,Kebab Roll- Chicken Tikka ( 2 no’s ),PORTION,FINISHGOOD,FINISHGOOD,,,10100
1TSUP080,Kebab Roll- Paneer Tikka ( 2 no’s ),PORTION,FINISHGOOD,FINISHGOOD,,,10103
1TSUP081,Egg Roll ( 2 no’s ),PORTION,FINISHGOOD,FINISHGOOD,,,10102
1TSUP082,Kebab Roll Combo,PORTION,FINISHGOOD,FINISHGOOD,,,10100
