Actual Item Code,Item Name,Corrected Name,Sub-Category,Category,Category for Incentive,Veg/Non veg,Chicken/Mutton,Value Offering Cat,Value Offering Sub-Cat,Innovation,Innovation Sub-cat,Unique,Combos to be excl for Item count report,ad
1VZD0157,Butter Roti,Butter Roti,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0158,Garlic Naan,Garlic Naan,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0159,Panner Paratha,Panner Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0160,Plain Naan,Plain Naan,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0162,Pudina Paratha,Pudina Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0164,Tandoori Roti,Tandoori Roti,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0165,Double Ka Meetha,Double Ka Meetha,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0168,Gulab Jamun,Gulab Jamun,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0169,Ice Cream Top Up,Ice Cream Top Up,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0170,Khubani Ka Meetha,Khubani Ka Meetha,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0171,Khubani Ka Metha Wit Ice Crem,KKM with Ice Cream,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
